PROVEEDOR;REF.;COLONIALES;FORMATO;PRECIO/FORMATO
CAFER;30233;PECHUGA DE POLLO FILETEADA CONGELADA;KG;5.26
CAFER;30245;PIMIENTO ROJO TIRAS  CONGELADO;KG;1.29
CAFER;30248;PIMIENTO VERDE TIRAS CONGELADO;KG;1.29
CAFER;30250;PISTO VERDURA NAVARRA C/4x2.5K P/K;KG;1.18
CAFER;40103;POLLO TROCEADO;KG;2.61
CAFER;30264;PREPARADO PAELLA;KG;3.59
CAFER;30265;PREPARADO SOPA MARISCO;KG;3.83
CAFER;30265;PREPARADO SOPA MARISCO;KG;3.83
CAFER;30265;PREPARADO SOPA MARISCO;KG;3.83
CAFER;30266;PROFITEROLES;KG;3.99
CAFER;30269;RABAS CALAMAR EMPANADA;KG;3.83
CAFER;30270;RABAS NATURALES;KG;3.85
CAFER;30407;RAPE TAQUITOS;KG;4.12
CAFER;30272;REDONDO PAVO;KG;3.25
CAFER;30279;RODAJA DE ATUN;KG;4.95
CAFER;30280;RODAJA EMPERADOR CAELLA;KG;2.53
CAFER;30283;RODAJA MERLUZA;KG;3.81
CAFER;30285;RODAJA MERLUZA REBOZADA;KG;3.84
CAFER;30291;SALCHICHA FRESCA CONGELADA ECO;KG;3.89
CAFER;30296;SAN JACOBO;KG;1.74
CAFER;30300;SOPA VERDURAS  CONGELADA;KG;0.99
CAFER;30301;SUCEDANEO CANGREJO;KG;2.52
CAFER;30311;TERNERA GUISAR CONGELADA;KG;4.18
CAFER;30450-1;TIRA CALAMAR C/7 SILOMAR;KG;3.8
CAFER;30450-1;TIRAS DE POTA;KG;3.8
CAFER;30319;TUBO POTA CALAMAR;KG;5.83
CAFER;30320;VARITA MERLUZA;KG;2.99
CAFER;30331;VERDURA PAELLA;KG;1.68
CAFER;30333;ZANAHORIA DADO;KG;0.89
CAFER;30333;ZANAHORIA DADO;KG;1.19
CAFER;30334;ZANAHORIA RODAJA;KG;0.79
CAFER;70002-1-V;AJETES VERDES MANOJOS EN BANDEJA;KG;3.6
CAFER;70002-V;AJO PELADO 1 KG;KG;4.1
CAFER;70004-V;AJOS;KG;3.6
CAFER;70067-V;BANANA;KG;1.35
CAFER;70009-V;BERENJENA;KG;1.3
CAFER;70109;BONIATO;KG;1.55
CAFER;70011-V;CALABACIN;KG;1.3
CAFER;70012-V;CALABAZA NARANJA;KG;1.05
CAFER;70014-V;CEBOLLA GRANEL;KG;0.55
CAFER;70021-V;CIRUELAS ROJAS;KG;3.1
CAFER;70029-V;COL HOJA;KG;0.82
CAFER;70024-V;KIWI ;KG;1.65
CAFER;70027-V;LECHUGA BOLSA 2P ROMANA;KG;1.55
CAFER;70028-V;LIMON;KG;1.5
CAFER;70030-V;LOMBARDAS;KG;0.71
CAFER;70085-V;MANDARINA CLEMENTINA 2/3 EXTRA *** FUERA DE TEMPORADA;KG;1.5
CAFER;70084-V;MANDARINACLEMENTINA ECONOMICA  *** FUERA DE TEMPORADA;KG;1.5
CAFER;70033-V;MANZ, R GALA 24 6/7 PZAS KG;KG;1.55
CAFER;70031-V;MANZANA GOLDEN 24;KG;1.15
CAFER;70040-V;MELOCO, AMARILLO 24;KG;1.35
CAFER;70041-V;MELOCO, ROJO 24;KG;1.35
CAFER;70045-V;NARANJA MESA 5/6 EXTRA;KG;1.08
CAFER;70085-1-V;NARANJA ZUMO;KG;0.86
CAFER;70047-V;NECTARINA  24;KG;0
CAFER;70050-V;PATATA LAVADA SIN CALIBRAR;KG;0.6
CAFER;70056-V;PEPINO;KG;0.9
CAFER;70057-V;PERA AGUA 24 6/7 PZAS KG;KG;1.5
CAFER;70060-V;PERA CONFE, 24 5/6 PZAS KG;KG;1.35
CAFER;70070-V;PIMIENTO ROJO;KG;1.2
CAFER;70065-V;PIÑA EXTRA;KG;1.35
CAFER;70066-V;PLATANO;KG;1.35
